event,value,timestamp
HR,69,2022-10-18T19:02:30.728014
IBI,918,2022-10-18T19:02:31.534781
HR,68,2022-10-18T19:02:31.537328
IBI,941,2022-10-18T19:02:32.745411
HR,68,2022-10-18T19:02:32.745411
IBI,928,2022-10-18T19:02:33.548038
HR,68,2022-10-18T19:02:33.562946
IBI,905,2022-10-18T19:02:34.366778
HR,67,2022-10-18T19:02:34.372909
IBI,917,2022-10-18T19:02:35.579738
HR,67,2022-10-18T19:02:35.587684
IBI,934,2022-10-18T19:02:36.390264
HR,67,2022-10-18T19:02:36.397865
IBI,940,2022-10-18T19:02:37.609996
HR,67,2022-10-18T19:02:37.612698
IBI,940,2022-10-18T19:02:38.420510
HR,66,2022-10-18T19:02:38.420510
IBI,959,2022-10-18T19:02:38.422591
HR,66,2022-10-18T19:02:38.422591
IBI,950,2022-10-18T19:02:39.629747
HR,66,2022-10-18T19:02:39.637607
IBI,949,2022-10-18T19:02:40.439523
HR,66,2022-10-18T19:02:40.448084
IBI,886,2022-10-18T19:02:41.659762
HR,65,2022-10-18T19:02:41.661973
IBI,903,2022-10-18T19:02:42.461861
HR,65,2022-10-18T19:02:42.472324
IBI,871,2022-10-18T19:02:43.680612
HR,66,2022-10-18T19:02:43.687571
IBI,885,2022-10-18T19:02:44.483456
HR,66,2022-10-18T19:02:44.497330
IBI,855,2022-10-18T19:02:45.709286
HR,66,2022-10-18T19:02:45.712640
IBI,831,2022-10-18T19:02:45.712640
HR,66,2022-10-18T19:02:45.712640
IBI,841,2022-10-18T19:02:46.512126
HR,67,2022-10-18T19:02:46.512126
IBI,860,2022-10-18T19:02:47.730502
HR,67,2022-10-18T19:02:47.737673
IBI,889,2022-10-18T19:02:48.533621
HR,68,2022-10-18T19:02:48.547922
IBI,853,2022-10-18T19:02:49.753499
HR,68,2022-10-18T19:02:49.762877
IBI,863,2022-10-18T19:02:50.571682
HR,68,2022-10-18T19:02:50.572483
IBI,869,2022-10-18T19:02:51.373804
HR,68,2022-10-18T19:02:51.382723
IBI,879,2022-10-18T19:02:52.594329
HR,68,2022-10-18T19:02:52.594329
IBI,880,2022-10-18T19:02:52.597850
HR,68,2022-10-18T19:02:52.597850
IBI,908,2022-10-18T19:02:53.397528
HR,68,2022-10-18T19:02:53.407876
IBI,859,2022-10-18T19:02:54.614380
HR,68,2022-10-18T19:02:54.622486
IBI,823,2022-10-18T19:02:55.423788
HR,68,2022-10-18T19:02:55.423788
IBI,818,2022-10-18T19:02:56.643706
HR,68,2022-10-18T19:02:56.647342
IBI,809,2022-10-18T19:02:57.453671
HR,69,2022-10-18T19:02:57.453671
IBI,844,2022-10-18T19:02:58.664320
HR,69,2022-10-18T19:02:58.672728
IBI,929,2022-10-18T19:02:59.474345
HR,70,2022-10-18T19:02:59.482853
IBI,962,2022-10-18T19:03:00.686567
HR,70,2022-10-18T19:03:00.697981
IBI,967,2022-10-18T19:03:01.504234
HR,68,2022-10-18T19:03:01.507029
IBI,1005,2022-10-18T19:03:01.507029
HR,68,2022-10-18T19:03:01.507029
IBI,973,2022-10-18T19:03:02.708082
HR,68,2022-10-18T19:03:02.722313
IBI,933,2022-10-18T19:03:03.526722
HR,67,2022-10-18T19:03:03.526722
IBI,921,2022-10-18T19:03:04.731487
HR,66,2022-10-18T19:03:04.747358
IBI,899,2022-10-18T19:03:05.549064
HR,66,2022-10-18T19:03:05.549064
IBI,846,2022-10-18T19:03:06.352165
HR,66,2022-10-18T19:03:06.367640
IBI,858,2022-10-18T19:03:07.572404
HR,67,2022-10-18T19:03:07.582640
IBI,926,2022-10-18T19:03:08.390632
HR,67,2022-10-18T19:03:08.390632
IBI,963,2022-10-18T19:03:09.594728
HR,67,2022-10-18T19:03:09.594728
IBI,932,2022-10-18T19:03:10.413180
HR,67,2022-10-18T19:03:10.418066
IBI,987,2022-10-18T19:03:11.623794
HR,66,2022-10-18T19:03:11.632365
IBI,992,2022-10-18T19:03:13.245111
HR,66,2022-10-18T19:03:13.252924
IBI,973,2022-10-18T19:03:13.646744
HR,65,2022-10-18T19:03:13.646744
IBI,985,2022-10-18T19:03:14.465423
HR,65,2022-10-18T19:03:14.467191
IBI,1016,2022-10-18T19:03:15.668225
HR,65,2022-10-18T19:03:15.668225
IBI,989,2022-10-18T19:03:16.487173
HR,64,2022-10-18T19:03:16.492839
IBI,980,2022-10-18T19:03:17.706305
HR,64,2022-10-18T19:03:17.707219
IBI,984,2022-10-18T19:03:18.508723
HR,63,2022-10-18T19:03:18.517281
IBI,953,2022-10-18T19:03:19.731397
HR,63,2022-10-18T19:03:19.731397
IBI,939,2022-10-18T19:03:20.541570
HR,63,2022-10-18T19:03:20.541570
IBI,983,2022-10-18T19:03:21.751898
HR,63,2022-10-18T19:03:21.757963
IBI,1021,2022-10-18T19:03:22.561216
HR,63,2022-10-18T19:03:22.567825
